1,63710,5,16
2,63702,8,21
3,63671,18,42
4,63661,21,49
5,63641,26,64
6,63621,33,77
7,63596,35,100
8,63593,36,102
9,63572,41,118
10,63570,41,120
11,63563,42,126
13,63536,47,148
14,63511,55,165
16,63481,62,188
18,63453,70,208
20,63425,77,229
22,63388,84,259
25,63352,94,285
28,63304,103,324
31,63261,110,360
34,63213,117,401
38,63170,124,437
43,63083,131,517
48,63023,140,568
54,62973,146,612
60,62919,160,652
67,62872,170,689
75,62800,178,753
84,62707,191,833
93,62676,192,863
104,62566,205,960
116,62447,217,1067
130,62288,243,1200
145,62163,255,1313
162,61979,274,1478
181,61800,282,1649
202,61587,303,1841
226,61321,311,2099
252,60972,347,2412
282,60601,381,2749
315,60292,397,3042
352,59855,427,3449
393,59362,455,3914
439,58896,484,4351
490,58380,499,4852
548,57760,515,5456
612,57094,539,6098
683,56424,558,6749
763,55730,603,7398
852,55026,636,8069
952,54236,672,8823
1064,53295,706,9730
1188,52288,740,10703
1327,51261,784,11686
1482,50225,803,12703
1655,49105,840,13786
1849,47943,871,14917
2065,46542,963,16226
2307,45130,999,17602
2577,43619,1049,19063
2878,42135,1081,20515
3215,40536,1101,22094
3591,38925,1150,23656
4011,37195,1162,25374
4480,35378,1188,27165
5004,33671,1205,28855
5590,31788,1201,30742
6244,30021,1232,32478
6974,27993,1216,34522
7790,26005,1213,36513
8701,24121,1201,38409
9719,22220,1155,40356
10856,20242,1128,42361
12125,18270,1031,44430
13544,16499,979,46253
15128,14697,903,48131
16898,12994,791,49946
18874,11390,686,51655
21082,10016,543,53172
23548,8642,440,54649
26303,7287,328,56116
29380,5984,253,57494
32816,4934,159,58638
36655,3791,85,59855
40943,2759,33,60939
45732,1846,0,61885
51082,857,0,62874
57057,200,0,63531
63731,0,0,63731
