1,63715,3,13
638,58525,513,4693
1275,53857,731,9143
1912,50090,923,12718
2549,46555,1079,16097
3186,43514,1145,19072
3823,40723,1230,21778
4460,38223,1334,24174
5097,36068,1339,26324
5734,33959,1400,28372
6371,32212,1442,30077
7008,30365,1499,31867
7645,28716,1491,33524
8282,27191,1552,34988
8919,25953,1561,36217
9556,24677,1548,37506
10193,23369,1523,38839
10830,22186,1469,40076
11467,21043,1479,41209
12104,19996,1447,42288
12741,19086,1418,43227
13378,18215,1391,44125
14015,17431,1341,44959
14652,16617,1317,45797
15289,15830,1302,46599
15926,15076,1300,47355
16563,14439,1276,48016
17200,13792,1233,48706
17837,13127,1198,49406
18474,12588,1170,49973
19111,12117,1118,50496
19748,11625,1069,51037
20385,11175,1017,51539
21022,10741,982,52008
21659,10345,952,52434
22296,9926,909,52896
22933,9524,863,53344
23570,9138,811,53782
24207,8737,778,54216
24844,8380,760,54591
25481,8052,723,54956
26118,7716,696,55319
26755,7472,658,55601
27392,7146,615,55970
28029,6837,570,56324
28666,6631,541,56559
29303,6287,499,56945
29940,6092,480,57159
30577,5816,455,57460
31214,5634,439,57658
31851,5402,409,57920
32488,5248,388,58095
33125,4946,365,58420
33762,4772,350,58609
34399,4579,321,58831
35036,4346,299,59086
35673,4203,281,59247
36310,3991,261,59479
36947,3829,240,59662
37584,3721,221,59789
38221,3506,201,60024
38858,3350,183,60198
39495,3239,175,60317
40132,3049,154,60528
40769,2804,145,60782
41406,2736,134,60861
42043,2610,130,60991
42680,2460,121,61150
43317,2266,116,61349
43954,2154,107,61470
44591,2087,95,61549
45228,1970,70,61691
45865,1812,38,61881
46502,1632,5,62094
47139,1544,0,62187
47776,1464,0,62267
48413,1372,0,62359
49050,1221,0,62510
49687,1081,0,62650
50324,945,0,62786
50961,865,0,62866
51598,830,0,62901
52235,764,0,62967
52872,669,0,63062
53509,582,0,63149
54146,468,0,63263
54783,358,0,63373
55420,256,0,63475
56057,214,0,63517
56694,212,0,63519
57331,196,0,63535
57968,188,0,63543
58605,168,0,63563
59242,148,0,63583
59879,130,0,63601
60516,110,0,63621
61153,86,0,63645
61790,70,0,63661
62427,60,0,63671
63064,30,0,63701
63701,0,0,63731
