1,1131377,1969,5153
2,1128990,2704,6805
3,1118766,3279,16454
4,1113781,3865,20853
5,1107843,4395,26261
6,1103504,4659,30336
7,1099699,4837,33963
8,1096959,5047,36493
9,1094834,5347,38318
11,1090755,5656,42088
12,1088370,5847,44282
14,1086322,6076,46101
16,1082585,6330,49584
19,1078999,6263,53237
21,1077187,6320,54992
25,1072746,6593,59160
28,1069050,6919,62530
33,1063438,7080,67981
38,1056847,7389,74263
43,1052587,7802,78110
50,1047337,7984,83178
57,1039519,8416,90564
66,1032072,8547,97880
75,1024962,8655,104882
87,1014774,9094,114631
100,1003673,9345,125481
115,995323,9261,133915
132,986831,9323,142345
151,977403,9533,151563
174,968305,9757,160437
200,959267,10058,169174
230,949504,10405,178590
265,939953,10700,187846
304,928464,11105,198930
350,916945,11523,210031
402,906531,11824,220144
462,895406,12265,230828
531,883230,12725,242544
611,872040,12935,253524
702,858568,13296,266635
807,847743,13429,277327
928,835933,13730,288836
1067,823405,13956,301138
1227,810450,14308,313741
1410,797066,14573,326860
1621,783798,14735,339966
1864,771485,14968,352046
2143,757862,15131,365506
2463,743506,15299,379694
2832,730177,15416,392906
3256,716183,15590,406726
3743,701537,15742,421220
4303,687288,15844,435367
4947,672916,15996,449587
5688,658003,16025,464471
6539,643028,16029,479442
7517,628225,16025,494249
8642,613612,15983,508904
9935,598154,15980,524365
11422,582226,15982,540291
13131,566551,15919,556029
15096,550336,15806,572357
17355,533694,15760,589045
19952,516691,15598,606210
22938,499359,15326,623814
26371,482083,15127,641289
30317,463978,14911,659610
34854,444838,14658,679003
40069,425424,14499,698576
46066,404805,14232,719462
52959,383260,13983,741256
60884,362329,13498,762672
69995,339121,13157,786221
80469,315459,12671,810369
92511,288757,12194,837548
106355,263815,10959,863725
122270,236467,10406,891626
140567,208796,9777,919926
161602,182974,8903,946622
185784,159859,8282,970358
213586,130721,6944,1000834
245548,106792,2336,1029371
282293,86561,0,1051938
324536,64877,0,1073622
373101,43988,0,1094511
428933,33667,0,1104832
493120,15790,0,1122709
566912,860,0,1137639
651747,860,0,1137639
749277,860,0,1137639
861402,0,0,1138499
990306,0,0,1138499
1138499,0,0,1138499
