1,1137461,1037,1
2,1137454,1043,2
3,1130268,8227,4
4,1128028,10459,12
5,1125283,13194,22
6,1122800,15176,523
7,1121109,16654,736
8,1119956,17709,834
9,1119116,18546,837
11,1117024,20320,1155
12,1115840,21428,1231
14,1115220,21974,1305
16,1113383,23614,1502
19,1111691,24863,1945
21,1110889,25457,2153
25,1108691,27256,2552
28,1107145,28637,2717
33,1104061,31129,3309
38,1100336,34484,3679
43,1098512,36173,3814
50,1095849,38167,4483
57,1091558,42093,4848
66,1087108,45581,5810
75,1082565,48989,6945
87,1076699,54061,7739
100,1069284,60197,9018
115,1062969,64798,10732
132,1056244,68859,13396
151,1049390,74000,15109
174,1042890,78429,17180
200,1035908,83191,19400
230,1029589,88104,20806
265,1023105,92539,22855
304,1015452,98545,24502
350,1007551,104304,26644
402,999909,109427,29163
462,992571,114895,31033
531,984535,121172,32792
611,975981,126867,35651
702,965360,134087,39052
807,956925,139175,42399
928,948545,144525,45429
1067,939564,150396,48539
1227,930717,156432,51350
1410,921340,162655,54504
1621,911178,169212,58109
1864,902850,174239,61410
2143,892694,180618,65187
2463,881643,187477,69379
2832,871022,193755,73722
3256,860494,200035,77970
3743,848843,206938,82718
4303,836788,213824,87887
4947,824702,220621,93176
5688,811805,227975,98719
6539,798909,235340,104250
7517,785536,242634,110329
8642,772327,249600,116572
9935,757948,257440,123111
11422,743078,265818,129603
13131,727998,274097,136404
15096,712161,282898,143440
17355,695771,291893,150835
19952,678898,301217,158384
22938,661447,310735,166317
26371,643843,320335,174321
30317,624700,330685,183114
34854,604699,341617,192183
40069,584211,353003,201285
46066,562198,364987,211314
52959,539167,377632,221700
60884,515854,389958,232687
69995,490560,403705,244234
80469,463740,417570,257189
92511,433702,434307,270490
106355,404030,449502,284967
122270,371047,467268,300184
140567,337505,483076,317918
161602,302862,499980,335657
185784,273709,511158,353632
213586,236336,527847,374316
245548,195604,545678,397217
282293,166078,554422,417999
324536,130985,556583,450931
373101,97177,566179,475143
428933,72316,575299,490884
493120,32358,590924,515217
566912,860,570727,566912
651747,860,485892,651747
749277,860,388362,749277
861402,0,277097,861402
990306,0,148193,990306
1138499,0,0,1138499
