1,63721,6,4
2,63720,6,5
3,63713,10,8
4,63708,14,9
5,63704,16,11
6,63698,19,14
7,63688,25,18
8,63687,25,19
9,63682,27,22
10,63681,27,23
11,63680,27,24
13,63669,32,30
14,63663,34,34
16,63654,39,38
18,63649,40,42
20,63642,43,46
22,63633,44,54
25,63623,45,63
28,63607,49,75
31,63594,54,83
34,63579,59,93
38,63562,64,105
43,63530,81,120
48,63507,89,135
54,63493,95,143
60,63475,102,154
67,63460,105,166
75,63439,110,182
84,63412,122,197
93,63400,124,207
104,63361,141,229
116,63319,154,258
130,63285,160,286
145,63252,173,306
162,63201,190,340
181,63162,199,370
202,63123,206,402
226,63060,223,448
252,62961,243,527
282,62894,259,578
315,62823,270,638
352,62730,288,713
393,62630,304,797
439,62494,338,899
490,62337,372,1022
548,62135,404,1192
612,61899,431,1401
683,61644,453,1634
763,61384,475,1872
852,60994,516,2221
952,60562,560,2609
1064,60040,622,3069
1188,59479,672,3580
1327,58920,728,4083
1482,58311,776,4644
1655,57586,851,5294
1849,56760,918,6053
2065,55871,1002,6858
2307,54914,1071,7746
2577,53909,1168,8654
2878,52685,1249,9797
3215,51421,1337,10973
3591,50100,1456,12175
4011,48652,1552,13527
4480,46977,1701,15053
5004,45292,1836,16603
5590,43332,1989,18410
6244,41505,2103,20123
6974,39449,2262,22020
7790,37239,2406,24086
8701,34992,2554,26185
9719,32630,2693,28408
10856,30205,2783,30743
12125,27522,2933,33276
13544,25080,2980,35671
15128,22395,3057,38279
16898,19768,3103,40860
18874,17184,3119,43428
21082,14798,3008,45925
23548,12534,2923,48274
26303,10363,2790,50578
29380,8317,2575,52839
32816,6583,2317,54831
36655,4910,2031,56790
40943,3400,1748,58583
45732,2193,1306,60232
51082,857,873,62001
57057,200,0,63531
63731,0,0,63731
